GAME_ID,TEAM_ID,TOTAL_PTS,TOTAL_REB,TOTAL_AST,TOTAL_STL,TOTAL_BLK,TOTAL_TO,TOTAL_PF,HOME_TEAM_ID,VISITOR_TEAM_ID,HOME_TEAM_WINS,IS_HOME,TEAM_WON
10700033,1610612762.0,100.0,55.0,20.0,4.0,5.0,13.0,25.0,1610612765,1610612762,0,0,1
10700033,1610612765.0,85.0,38.0,20.0,4.0,7.0,16.0,34.0,1610612765,1610612762,0,1,0
10700034,1610612741.0,100.0,40.0,25.0,5.0,3.0,14.0,22.0,1610612741,1610612742,1,1,1
10700034,1610612742.0,92.0,36.0,19.0,6.0,2.0,13.0,27.0,1610612741,1610612742,1,0,0
10700035,1610612742.0,86.0,42.0,15.0,6.0,7.0,21.0,27.0,1610612764,1610612742,1,0,0
10700035,1610612764.0,90.0,48.0,18.0,15.0,4.0,13.0,24.0,1610612764,1610612742,1,1,1
10700036,1610612748.0,76.0,35.0,14.0,10.0,8.0,21.0,23.0,1610612766,1610612748,1,0,0
10700036,1610612766.0,92.0,39.0,20.0,10.0,6.0,18.0,25.0,1610612766,1610612748,1,1,1
10700037,1610612754.0,97.0,57.0,24.0,4.0,6.0,12.0,19.0,1610612754,1610612760,1,1,1
10700037,1610612760.0,87.0,53.0,17.0,3.0,11.0,14.0,22.0,1610612754,1610612760,1,0,0
10700038,1610612740.0,111.0,51.0,17.0,8.0,3.0,16.0,22.0,1610612756,1610612740,0,0,1
10700038,1610612756.0,106.0,46.0,26.0,6.0,5.0,16.0,27.0,1610612756,1610612740,0,1,0
10700039,1610612749.0,78.0,41.0,18.0,4.0,5.0,30.0,34.0,1610612749,1610612762,0,1,0
10700039,1610612762.0,92.0,34.0,19.0,18.0,6.0,16.0,27.0,1610612749,1610612762,0,0,1
10700041,1610612737.0,89.0,46.0,20.0,6.0,5.0,13.0,24.0,1610612737,1610612757,0,1,0
10700041,1610612757.0,102.0,46.0,19.0,4.0,4.0,17.0,20.0,1610612737,1610612757,0,0,1
10700042,1610612755.0,80.0,39.0,20.0,6.0,4.0,15.0,18.0,1610612755,1610612764,0,1,0
10700042,1610612764.0,86.0,47.0,20.0,5.0,6.0,20.0,26.0,1610612755,1610612764,0,0,1
10700043,1610612743.0,106.0,43.0,19.0,6.0,4.0,12.0,22.0,1610612765,1610612743,1,0,0
10700043,1610612765.0,109.0,48.0,25.0,2.0,10.0,15.0,22.0,1610612765,1610612743,1,1,1
10700044,1610612744.0,89.0,42.0,19.0,8.0,8.0,23.0,28.0,1610612744,1610612746,0,1,0
10700044,1610612746.0,99.0,59.0,28.0,11.0,6.0,27.0,36.0,1610612744,1610612746,0,0,1
10700045,1610612751.0,86.0,40.0,17.0,6.0,4.0,19.0,34.0,1610612766,1610612751,1,0,0
10700045,1610612766.0,96.0,35.0,15.0,10.0,6.0,16.0,25.0,1610612766,1610612751,1,1,1
10700046,1610612750.0,93.0,42.0,14.0,10.0,10.0,21.0,28.0,1610612763,1610612750,1,0,0
10700046,1610612763.0,101.0,45.0,25.0,10.0,13.0,18.0,20.0,1610612763,1610612750,1,1,1
10700047,1610612740.0,104.0,32.0,19.0,9.0,3.0,21.0,32.0,1610612740,1610612754,0,1,0
10700047,1610612754.0,117.0,42.0,23.0,12.0,2.0,22.0,39.0,1610612740,1610612754,0,0,1
10700048,1610612756.0,124.0,37.0,28.0,14.0,11.0,22.0,30.0,1610612756,1610612762,1,1,1
10700048,1610612762.0,101.0,44.0,16.0,11.0,5.0,28.0,24.0,1610612756,1610612762,1,0,0
10700050,1610612737.0,103.0,37.0,23.0,10.0,4.0,18.0,25.0,1610612737,1610612750,1,1,1
10700050,1610612750.0,77.0,37.0,13.0,9.0,1.0,27.0,28.0,1610612737,1610612750,1,0,0
10700051,1610612741.0,97.0,38.0,27.0,10.0,7.0,19.0,31.0,1610612741,1610612764,1,1,1
10700051,1610612764.0,76.0,40.0,11.0,8.0,14.0,21.0,24.0,1610612741,1610612764,1,0,0
10700052,1610612743.0,104.0,46.0,20.0,15.0,6.0,15.0,27.0,1610612749,1610612743,0,0,1
10700052,1610612749.0,78.0,49.0,11.0,5.0,2.0,26.0,24.0,1610612749,1610612743,0,1,0
10700053,1610612742.0,101.0,44.0,18.0,6.0,2.0,22.0,34.0,1610612758,1610612742,0,0,1
10700053,1610612758.0,99.0,29.0,16.0,8.0,7.0,17.0,29.0,1610612758,1610612742,0,1,0
10700054,1610612743.0,110.0,37.0,24.0,7.0,4.0,16.0,29.0,1610612765,1610612743,1,0,0
10700054,1610612765.0,119.0,55.0,30.0,3.0,6.0,13.0,26.0,1610612765,1610612743,1,1,1
10700055,1610612754.0,122.0,51.0,26.0,11.0,5.0,11.0,32.0,1610612754,1610612763,1,1,1
10700055,1610612763.0,115.0,43.0,20.0,7.0,6.0,16.0,36.0,1610612754,1610612763,1,0,0
10700056,1610612755.0,93.0,41.0,13.0,9.0,4.0,15.0,23.0,1610612762,1610612755,1,0,0
10700056,1610612762.0,101.0,40.0,32.0,8.0,7.0,16.0,26.0,1610612762,1610612755,1,1,1
10700058,1610612738.0,101.0,44.0,27.0,7.0,9.0,17.0,25.0,1610612738,1610612752,1,1,1
10700058,1610612752.0,61.0,43.0,10.0,7.0,4.0,13.0,26.0,1610612738,1610612752,1,0,0
10700059,1610612739.0,86.0,43.0,19.0,7.0,3.0,14.0,30.0,1610612739,1610612753,0,1,0
10700059,1610612753.0,90.0,44.0,12.0,4.0,2.0,17.0,19.0,1610612739,1610612753,0,0,1
10700060,1610612737.0,104.0,45.0,18.0,11.0,8.0,16.0,22.0,1610612766,1610612737,0,0,1
10700060,1610612766.0,98.0,29.0,18.0,5.0,6.0,20.0,32.0,1610612766,1610612737,0,1,0
10700061,1610612758.0,105.0,31.0,19.0,14.0,6.0,16.0,20.0,1610612762,1610612758,0,0,1
10700061,1610612762.0,91.0,42.0,23.0,8.0,5.0,22.0,27.0,1610612762,1610612758,0,1,0
10700062,1610612747.0,126.0,44.0,30.0,8.0,3.0,18.0,23.0,1610612747,1610612760,1,1,1
10700062,1610612760.0,106.0,37.0,27.0,12.0,2.0,18.0,30.0,1610612747,1610612760,1,0,0
10700063,1610612751.0,110.0,37.0,27.0,14.0,7.0,18.0,23.0,1610612751,1610612752,1,1,1
10700063,1610612752.0,94.0,40.0,17.0,11.0,4.0,21.0,22.0,1610612751,1610612752,1,0,0
10700064,1610612742.0,90.0,31.0,19.0,8.0,1.0,15.0,25.0,1610612745,1610612742,1,0,0
10700064,1610612745.0,104.0,40.0,22.0,11.0,5.0,14.0,21.0,1610612745,1610612742,1,1,1
10700065,1610612744.0,111.0,41.0,22.0,8.0,6.0,11.0,26.0,1610612759,1610612744,1,0,0
10700065,1610612759.0,116.0,52.0,20.0,6.0,6.0,15.0,20.0,1610612759,1610612744,1,1,1
10700066,1610612746.0,97.0,45.0,17.0,10.0,3.0,22.0,23.0,1610612746,1610612756,0,1,0
10700066,1610612756.0,118.0,42.0,29.0,16.0,6.0,22.0,16.0,1610612746,1610612756,0,0,1
